dcterms_2008-01-14.n3,dcterms_2010-10-11.n3,dcam_2008-01-14.n3,dcam_2010-10-11.n3,http://purl.org/dc/dcam/
dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,dcam_2010-10-11.n3,dcam_2012-06-14.n3,http://purl.org/dc/dcam/
foaf_2010-08-09.n3,foaf_2014-01-14.n3,dce_2008-01-14.n3,dce_2012-06-14.n3,http://purl.org/dc/elements/1.1/
dce_2008-01-14.n3,dce_2010-10-11.n3,dcam_2008-01-14.n3,dcam_2010-10-11.n3,http://purl.org/dc/dcam/
dce_2008-01-14.n3,dce_2010-10-11.n3,dcterms_2008-01-14.n3,dcterms_2010-10-11.n3,http://purl.org/dc/terms/
dce_2010-10-11.n3,dce_2012-06-14.n3,dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
dce_2010-10-11.n3,dce_2012-06-14.n3,dcam_2010-10-11.n3,dcam_2012-06-14.n3,http://purl.org/dc/dcam/
qb_2010-11-27.n3,qb_2013-03-02.n3,dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
qb_2013-07-26.n3,qb_2014-07-31.n3,foaf_2010-08-09.n3,foaf_2014-01-14.n3,http://xmlns.com/foaf/0.1/
osspr_2010-04-01.n3,osspr_2013-09-04.n3,dcterms_2008-01-14.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
osspr_2010-04-01.n3,osspr_2013-09-04.n3,dce_2008-01-14.n3,dce_2012-06-14.n3,http://purl.org/dc/elements/1.1/
scovo_2011-08-05.n3,scovo_2012-08-09.n3,dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
scovo_2011-08-05.n3,scovo_2012-08-09.n3,dce_2010-10-11.n3,dce_2012-06-14.n3,http://purl.org/dc/elements/1.1/
prv_2009-11-28.n3,prv_2010-04-04.n3,foaf_2007-10-02.n3,foaf_2010-01-01.n3,http://xmlns.com/foaf/0.1/
prv_2010-07-10.n3,prv_2011-01-25.n3,foaf_2010-01-01.n3,foaf_2010-08-09.n3,http://xmlns.com/foaf/0.1/
prv_2010-07-10.n3,prv_2011-01-25.n3,dcterms_2008-01-14.n3,dcterms_2010-10-11.n3,http://purl.org/dc/terms/
gn_2010-10-05.n3,gn_2012-02-14.n3,dcterms_2008-01-14.n3,dcterms_2010-10-11.n3,http://purl.org/dc/terms/
gn_2012-02-14.n3,gn_2012-10-29.n3,dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
dctype_2008-01-14.n3,dctype_2010-10-11.n3,dcterms_2008-01-14.n3,dcterms_2010-10-11.n3,http://purl.org/dc/terms/
dctype_2010-10-11.n3,dctype_2012-06-14.n3,dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
dctype_2008-01-14.n3,dctype_2010-10-11.n3,dcam_2008-01-14.n3,dcam_2010-10-11.n3,http://purl.org/dc/dcam/
dctype_2010-10-11.n3,dctype_2012-06-14.n3,dcam_2010-10-11.n3,dcam_2012-06-14.n3,http://purl.org/dc/dcam/
vcard_2010-01-20.n3,vcard_2013-05-25.n3,dce_2008-01-14.n3,dce_2012-06-14.n3,http://purl.org/dc/elements/1.1/
schema_2012-04-27.n3,schema_2012-06-26.n3,dcterms_2010-10-11.n3,dcterms_2012-06-14.n3,http://purl.org/dc/terms/
edm_2010-07-30.n3,edm_2012-01-23.n3,dctype_2008-01-14.n3,dctype_2010-10-11.n3,http://purl.org/dc/dcmitype/
